casino_name,website_url,accepted_crypto,bonus_percentage,bonus_max_amount_in_euro,max_bonus_value,free_spins,bonus_type,logo_path,player_rating,casino_rating,pros_path,cons_path,review_path
Hiperwin Casino,https://www.hiperwin.com,₿,100%,€200.0,€200,20,1st Deposit Bonus,casino_logos/hiperwin_casino.webp,7.0,7.0,pros/hiperwin_casino.txt,cons/hiperwin_casino.txt,review/hiperwin_casino.txt
Cashwin Casino,https://www.cashwin.com/,₿,100%,€1000.0,€1000,50,1st Deposit Bonus,casino_logos/cashwin_casino.webp,7.4,6.9,pros/cashwin_casino.txt,cons/cashwin_casino.txt,review/cashwin_casino.txt
Bitcoin Games Casino,https://games.bitcoin.com/,"₿, Ƀ",15%,-,-,0,Cashback Bonus,casino_logos/bitcoin_games_casino.webp,9.3,6.9,pros/bitcoin_games_casino.txt,cons/bitcoin_games_casino.txt,review/bitcoin_games_casino.txt
Spades Queen Casino,https://www.spadesqueen.com/,"ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",125%,€2000.0,€2500,250,1st Deposit Bonus,casino_logos/spades_queen_casino.webp,4.5,7.0,pros/spades_queen_casino.txt,cons/spades_queen_casino.txt,review/spades_queen_casino.txt
Amerio Bet Casino,https://amerio.bet/en,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ɱ, ✕, τ, ₮, ₵",150%,€1000.0,€1500,50,Other,casino_logos/amerio_bet_casino.webp,6.6,6.9,pros/amerio_bet_casino.txt,cons/amerio_bet_casino.txt,review/amerio_bet_casino.txt
Trino Casino,https://trinocasino.com/,₿,110%,€1000.0,€1100,0,1st Deposit Bonus,casino_logos/trino_casino.webp,6.8,7.0,pros/trino_casino.txt,cons/trino_casino.txt,review/trino_casino.txt
Shangri La Casino,https://shangrila.com/,₿,100%,€10000.0,€10000,200,1st Deposit Bonus,casino_logos/shangri_la_casino.webp,7.4,7.0,pros/shangri_la_casino.txt,cons/shangri_la_casino.txt,review/shangri_la_casino.txt
Rickycasino,https://www.rickycasino.com,₿,-,-,-,0,Other,casino_logos/rickycasino.webp,7.4,7.0,pros/rickycasino.txt,cons/rickycasino.txt,review/rickycasino.txt
1Go Casino,https://1go.casino/,"₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",50%,€300.0,€150,0,1st Deposit Bonus,casino_logos/1go_casino.webp,0.0,7.0,pros/1go_casino.txt,cons/1go_casino.txt,review/1go_casino.txt
BetifyMe Casino,https://www.betifyme.com/,"₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",100%,€100.0,€100,0,1st Deposit Bonus,casino_logos/betifyme_casino.webp,0.0,6.9,pros/betifyme_casino.txt,cons/betifyme_casino.txt,review/betifyme_casino.txt
Legiano Casino,https://legiano.com/en/,"₿, Ð, Ł, ₮",100%,€500.0,€500,200,Other,casino_logos/legiano_casino.webp,4.7,5.9,pros/legiano_casino.txt,cons/legiano_casino.txt,review/legiano_casino.txt
Slottica Casino,https://slottica.com/en,₿,200%,€200.0,€400,0,Other,casino_logos/slottica_casino.webp,5.0,6.9,pros/slottica_casino.txt,cons/slottica_casino.txt,review/slottica_casino.txt
HotSlots Casino,https://hotslots.io/,₿,50%,€250.0,€125,0,1st Deposit Bonus,casino_logos/hotslots_casino.webp,6.4,6.9,pros/hotslots_casino.txt,cons/hotslots_casino.txt,review/hotslots_casino.txt
Coins Game Casino,https://coins.game,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮, ₵",100%,€1000.0,€1000,50,Other,casino_logos/coins_game_casino.webp,5.8,6.9,pros/coins_game_casino.txt,cons/coins_game_casino.txt,review/coins_game_casino.txt
Winscore Casino,https://winscore.com/,₿,100%,€200.0,€200,0,1st Deposit Bonus,casino_logos/winscore_casino.webp,7.0,7.1,pros/winscore_casino.txt,cons/winscore_casino.txt,review/winscore_casino.txt
WinsRoyal Casino,https://winsroyal.com,₿,100%,€500.0,€500,50,1st Deposit Bonus,casino_logos/winsroyal_casino.webp,8.0,6.9,pros/winsroyal_casino.txt,cons/winsroyal_casino.txt,review/winsroyal_casino.txt
Onedun Casino,https://onedun.com/,"₿, Ƀ, Ð, Ł, ₮",166%,€500.0,€830,198,1st Deposit Bonus,casino_logos/onedun_casino.webp,10.0,6.9,pros/onedun_casino.txt,cons/onedun_casino.txt,review/onedun_casino.txt
Unlim Casino,https://unlimcasino.com,"ℬ, ₿, Ξ, Ł, ₮, ₵",200%,€10000.0,€20000,0,Welcome Bonus,casino_logos/unlim_casino.webp,0.0,6.9,pros/unlim_casino.txt,cons/unlim_casino.txt,review/unlim_casino.txt
SlottoJAM Casino,https://slottojam.com/,"₿, Ξ, Ł, ₮",100%,€200.0,€200,0,1st Deposit Bonus,casino_logos/slottojam_casino.webp,8.0,6.9,pros/slottojam_casino.txt,cons/slottojam_casino.txt,review/slottojam_casino.txt
